productId,whId,mrp,cost,shelfLife,barcode,quantity,offer,purchasePrice,serialNo,location,area,rackId,binId,product_name
PR15661,WMF1,34,0,31/12/2019,8901396146506N,2,,30.9094,,,,,,"Lizol Disinfectant Floor Cleaner - Sandal, 200ml"
PR15076,WMF1,34,0,31/12/2019,8901396146001,1,,30.9094,,,,,,"Lizol Disinfectant Floor Cleaner - Citrus, 200ml"
PR15611,WMF1,32,0,31/12/2019,8901396117612N,1,,29.0912,,,,,,"Lizol Disinfectant Floor Cleaner - Lavender, 200ml"
PR15145,WMF1,200,0,31/12/2019,4902430806053F,6,,142.5025,,,,,,"Oral B Fresh Clean Toothbrush - Medium, (Buy 10 Get 2 Free)"
PR15043,WMF1,180,0,31/12/2019,473601,2,,126,,,,,,"Colgate Super Flexi Toothbrush - Medium, (Buy 10 Get 2 Free)"
PR15199,WMF1,50,0,31/12/2019,8906065458218,1,,37.5,,,,,,"Gone Mad Gang of Five Premium Choco Stick - Badam, 100g"
PR15279,WMF1,310,0,31/12/2019,474058,2,,153.83,,,,,,"Shekar Gold 3 Star Soft Short Notebook - Ruled, 184 Pages (Pack of 10)"
PR15279,WMF1,310,0,31/12/2019,474058,6,,153.83,,,,,,"Shekar Gold 3 Star Soft Short Notebook - Ruled, 184 Pages (Pack of 10)"
PR15459,WMF1,180,0,31/12/2019,474388,26,,135,,,,,,"Colgate ZigZag Toothbrush - Medium, (Buy 6 Get 1 Free)"
PR15470,WMF1,70,0,31/12/2019,474421,1,,49,,,,,,"Generic (Rs.7) Gum, 22ml (Pack of 10)"
PR15510,WMF1,25,0,31/12/2019,8901324013559N,11,,16,,,,,,Nataraj (Rs.5) Super X Ball Pen - Blue (Pack of 5)
PR15604,WMF1,435,0,31/12/2019,474636,1,,374.1,,,,,,"Kopiko (Re.1) Candy Jar - Cappuccino, 3.8g (Pack of 460) (Rs.25/- Off)"
PR15604,WMF1,432,0,31/12/2019,474636,3,,374.1,,,,,,"Kopiko (Re.1) Candy Jar - Cappuccino, 3.8g (Pack of 460) (Rs.25/- Off)"
PR15909,WMF1,216,0,31/12/2019,4902430678896,8,,128.17,,,,,,"Oral B Shiny Clean Toothbrush - Medium, (Buy 12 Get 1 Free)"
PR16310,WMF1,235,0,31/12/2019,474859,3,,204.45,,,,,,"Munch (Rs.5) Chocolate Bar, 10.1g (Pack of 50) (Buy 47 Get 3)"
PR16324,WMF1,90,0,31/12/2019,474917,36,,62.655,,,,,,Mamy Poko (Rs.9) Pant Style Diaper - Small (Pack of 10)
PR10319,WMF1,32,0,31/12/2019,191512,36,,25.44930667,,,,,,"Vicks VapoRub, 10ml"
PR15193,WMF1,50,0,31/12/2019,8906065458171,1,,37.5,,,,,,"Gone Mad Gang of Five Premium Choco Stick - Coffee, 100g"
PR17879,WMF1,49,0,31/12/2019,8901030672842,480,,40.22802,,,,,,"Vaseline Intensive Care Body Lotion - Cocoa Glow, 40ml"
PR10535,WMF1,120,0,31/12/2019,8901248104401,1,,105.8083333,,,,,,"Himani (Rs.10) Navartna Hair Oil, 20ml (Pack of 12)"
PR12818,WMF1,420,0,31/12/2019,470534,6,,210,,,,,,"Shekar Gold King Size Notebook - 57gsm/Unruled, 160 Pages, 18X24cm (Pack of 10)"
PR12818,WMF1,400,0,31/12/2019,470534,2,,210,,,,,,"Shekar Gold King Size Notebook - 57gsm/Unruled, 160 Pages, 18X24cm (Pack of 10)"
PR12816,WMF1,500,0,31/12/2019,470531,8,,250.88,,,,,,"Shekar Gold King Size Notebook - 57gsm/Ruled, 80 Pages, 18X24cm (Pack of 20)"
PR14462,WMF1,100,0,31/12/2019,8901425006283,3,,65,,,,,,"Camlin (Rs.10) Wax Crayons, 12 Shades (Pack of 10)"
PR10211,WMF1,28,0,31/12/2019,8901012165263,48,,19.24,,,,,,Stayfree Secure Regular Sanitary Wings - Dry (7pcs)
PR10211,WMF1,28,0,31/12/2019,8901012165263,66,,19.24,,,,,,Stayfree Secure Regular Sanitary Wings - Dry (7pcs)
PR12870,WMF1,400,0,31/12/2019,470532,5,,219.44,,,,,,"Shekar Gold King Size Notebook - 57gsm/Ruled, 160 Pages 18X24cm (Pack of 10)"
PR12870,WMF1,400,0,31/12/2019,470532,5,,219.44,,,,,,"Shekar Gold King Size Notebook - 57gsm/Ruled, 160 Pages 18X24cm (Pack of 10)"
PR10790,WMF1,100,0,31/12/2019,8901030622915,26,,67.0344,,,,,,"3 Roses (Rs.2) Dust Tea, 4g (Pack of 50)"
PR11777,WMF1,35,0,31/12/2019,8904075211762,4,,18.15,,,,,,"Cello (Rs.7) Smarty Mechanical Pencil, 0.5mm (Pack of 5)"
PR13492,WMF1,60,0,31/12/2019,8901425025871,8,,36,,,,,,Camlin (Rs.3) Exam Sharpener (Pack of 20)
PR15194,WMF1,50,0,31/12/2019,8906065458225,1,,37.5,,,,,,"Gone Mad Gang of Five Premium Choco Stick - Dark Chocolate, 100g"
PR11790,WMF1,35,0,31/12/2019,8907234001341BLUE,3,,20.29666667,,,,,,Cello (Rs.7) Fine Grip Ball Point Pen - Blue (Pack of 5)
PR12828,WMF1,250,0,31/12/2019,470557,10,,125,,,,,,"Shekar 60gsm Drawing Book - 60 Pages, 22X28cm (Pack of 10)"
PR13573,WMF1,250,0,31/12/2019,8901425001974N,4,,164,,,,,,"Camlin (Rs.25) Sketch Pen, 12 Shades (Pack of 10)"
PR11793,WMF1,40,0,31/12/2019,8907234001228,6,,21.41,,,,,,Cello (Rs.8) Gripper Ball Point Pen - Blue (Pack of 5)
PR15004,WMF1,250,0,31/12/2019,8901324013559,5,,160,,,,,,Nataraj (Rs.5) Super X Ball Pen - Blue (Pack of 50)
PR15509,WMF1,60,0,31/12/2019,8901425018903,4,,36,,,,,,Camlin (Rs.3) Regular Eraser (Pack of 20)
PR10908,WMF1,80,0,31/12/2019,8901138500467,48,,64,,,,,,"Himalaya Herbals Fairness Cream, 50g"
PR10145,WMF1,180,0,31/12/2019,8901248701068,71,,128.47,,,,,,"Zandu (Rs.15) Balm, 4.5ml (Pack of 12)"
PR10345,WMF1,66,0,31/12/2019,8901012114025,24,,54.52542857,,,,,,"Johnsons Baby Cream, 50g"
PR10345,WMF1,66,0,31/12/2019,8901012114025,24,,54.52542857,,,,,,"Johnsons Baby Cream, 50g"
PR10142,WMF1,35,0,31/12/2019,8901023010415,364,,32.55,,,,,,"Cinthol Soap - Cool Bar, 100g"
PR11457,WMF1,24,0,31/12/2019,8901030564208,72,,19.176,,,,,,"Surf Excel (Rs.2) Quick Wash Detergent Powder, 12g (Pack of 12)"
PR11457,WMF1,24,0,31/12/2019,8901030564208,191,,19.176,,,,,,"Surf Excel (Rs.2) Quick Wash Detergent Powder, 12g (Pack of 12)"
PR10909,WMF1,55,0,31/12/2019,8901012116333,2,,44.07333333,,,,,,"Johnsons Baby Shampoo, 50ml"
PR15367,WMF1,45,0,31/12/2019,8901030670190,83,,37.73196,,,,,,"Vim Dishwash Bar - Lemon Tub Pack, 500g"
PR15367,WMF1,47,0,31/12/2019,8901030670190,90,,37.73196,,,,,,"Vim Dishwash Bar - Lemon Tub Pack, 500g"
PR15151,WMF1,216,0,31/12/2019,473534,6,,116.64,,,,,,"Pepsodent Germicheck Plus Fighter Toothbrush - Soft, (Pack of 12)"
PR13005,WMF1,280,0,31/12/2019,8901233024103,11,,237.6030267,,,,,,"Perk (Rs.10) Chocolate, 28g (Pack of 28)"
PR14453,WMF1,100,0,31/12/2019,8901765141668,3,,51,,,,,,Flair (Rs.10) Glitter Gel Pen - Assorted (Pack of 10)
PR15054,WMF1,192,0,31/12/2019,471422,8,,158.161824,,,,,,"Pampers Baby Dry Pants - Medium, 2pcs, (Pack of 8)"
PR15054,WMF1,192,0,31/12/2019,471422,132,,158.161824,,,,,,"Pampers Baby Dry Pants - Medium, 2pcs, (Pack of 8)"
PR15148,WMF1,216,0,31/12/2019,473533,5,,116.64,,,,,,"Pepsodent Germicheck Plus Fighter Toothbrush - Medium, (Pack of 12)"
PR15148,WMF1,216,0,31/12/2019,473533,11,,116.64,,,,,,"Pepsodent Germicheck Plus Fighter Toothbrush - Medium, (Pack of 12)"
PR10340,WMF1,45,0,31/12/2019,8901012116685,18,,36.32,,,,,,"Johnsons Baby Soap - Milk, 75g"
PR10340,WMF1,45,0,31/12/2019,8901012116685,12,,36.32,,,,,,"Johnsons Baby Soap - Milk, 75g"
PR10340,WMF1,45,0,31/12/2019,8901012116685,12,,36.32,,,,,,"Johnsons Baby Soap - Milk, 75g"
PR10340,WMF1,45,0,31/12/2019,8901012116685,18,,36.32,,,,,,"Johnsons Baby Soap - Milk, 75g"
PR15655,WMF1,50,0,31/12/2019,8901052034666,9,,41.675,,,,,,"Tata (Rs.5) Agni Dust Tea Poly Pack, 25g (Pack of 10)"
PR10107,WMF1,48,0,31/12/2019,466065,9,,35.41210992,,,,,,"Head & Shoulders (Rs.4) Shampoo - Cool Menthol, 7ml (Pack of 16)"
PR11819,WMF1,50,0,31/12/2019,8901238310041,12,,26,,,,,,Kangaro Stapler No.10 HD-10
PR10906,WMF1,120,0,31/12/2019,8906057531332,28,,91.20192,,,,,,"Medimix (Rs.10) Ayurvedic Soap, 35g (Pack of 12)"
PR10906,WMF1,120,0,31/12/2019,8906057531332,21,,91.20192,,,,,,"Medimix (Rs.10) Ayurvedic Soap, 35g (Pack of 12)"
PR10351,WMF1,79,0,31/12/2019,8901138511449,6,,51.35,,,,,,"Himalaya Herbals Gentle Baby Shampoo, 100ml"
PR11385,WMF1,60,0,31/12/2019,8906057531325,72,,45.6,,,,,,"Medimix (Rs.5) Ayurvedic Soap, 20g (Pack of 12)"
PR12862,WMF1,50,0,31/12/2019,8901324014570,10,,30,,,,,,Apsara (Rs.5) Triga Extra Dark Pencil (Pack of 10)
PR15060,WMF1,208,0,31/12/2019,471423,7,,171.120352,,,,,,"Pampers Baby Dry Pants - Large, 2pcs, (Pack of 8)"
