created_on,stock_id,productId,WMF1,mrp,cost,shelfLife,barcode,quantity,offer,purchasePrice,serialNo,location,area,rackId,binId,product_name
8/10/2018 21:17,527527,PR15321,WMF1,20,0,0000-00-00,8901287207385,2,,0,,,,,,Mysore Detergent Bar Soap (250g)
8/10/2018 21:17,528288,PR15321,WMF1,20,0,0000-00-00,8901287207385,60,,0,,,,,,Mysore Detergent Bar Soap (250g)
8/10/2018 21:17,528855,PR11437,WMF1,20,0,5/30/2020,8901207018244,12,,0,,,,,,Meswak Toothpaste (50g)
8/10/2018 21:17,528269,PR10098,WMF1,24,0,4/30/2020,8901030691393,5,,0,,,,,,Clear (Rs. 1.50) Shampoo - Dandruff Clean (5ml) (1 SHEET x 16 Sachets)
8/10/2018 21:17,528176,PR10434,WMF1,20,0,6/30/2021,89006818,1,,0,,,,,,Dabur Hair Oil - Amla (45ml)
8/10/2018 21:17,529443,PR10232,WMF1,20,0,6/30/2020,8901314010728,2930,,0,,,,,,Colgate Dental Cream Toothpaste (50g)
8/10/2018 21:17,529502,PR13243,WMF1,25,0,6/30/2021,8902532045011B,20,,0,,,,,,Rorito (Rs. 5) Bmax Ball Pen - Black (1 PACKET x 5pcs)
8/10/2018 21:17,529501,PR13254,WMF1,25,0,6/30/2021,8902532045011,56,,0,,,,,,Rorito (Rs. 5) Bmax Ball Pen - Blue (1 PACKET x 5pcs)
8/10/2018 21:17,521660,PR11719,WMF1,25,0,12/30/2020,8901198115762,1,,0,,,,,,Luxor 949 Sketch Pen - Black (1 PACKET x 10pcs)
8/10/2018 21:17,523643,PR13255,WMF1,25,0,12/30/2020,8902532045301,5,,0,,,,,,Rorito (Rs.5 ) Fasty Gel Pen - Blue (1 PACKET x 5pcs)
8/10/2018 21:17,528577,PR11779,WMF1,30,0,6/30/2021,8907234003253BLK,10,,0,,,,,,Cello (Rs. 6) Faster Ball Point Pen - Black (1 PACKET x 5pcs)
8/10/2018 21:17,525696,PR11721,WMF1,25,0,12/30/2020,8901198115755,11,,0,,,,,,Luxor 976 Assorted Sketch Pen (1 PACKET x 12pcs)
8/10/2018 21:17,528578,PR11774,WMF1,30,0,6/30/2021,8907234003253,18,,0,,,,,,Cello (Rs. 6) Faster Ball Point Pen - Blue (1 PACKET x 5pcs)
