created_on,stock_id,productId,WMF1,mrp,cost,shelfLife,barcode,quantity,offer,purchasePrice,serialNo,location,area,rackId,binId,product_name
8/10/2018 21:17,526723,PR15354,WMF1,30,0,3/30/2020,8901399337512,16,,0,,,,,,Safewash After wash Fabric Conditioner - Ocean Breeze (20ml) (1 SHEET x 10 Sachets)
8/10/2018 21:17,526722,PR15355,WMF1,30,0,3/30/2020,8901399335518,56,,0,,,,,,Safewash After wash Fabric Conditioner - Garden Bouquet (20ml) (1 SHEET x 10 Sachets)
8/10/2018 21:17,522877,PR12950,WMF1,35,0,12/30/2020,8901372911012,2,,0,,,,,,Cello Sapphire Ball Point Pen - Blue (0.7mm)
8/10/2018 21:17,528073,PR10506,WMF1,30,0,8/30/2020,8901138711962,12,,0,,,,,,Himalaya Herbals Protecting Soap - Neem & Turmeric (75g)
8/10/2018 21:17,521765,PR15578,WMF1,32,0,0000-00-00,472378,202,,0,,,,,,Dove (Rs. 2) Shampoo - Intense Repair (5ml) (1 SHEET x 16 Sachets) - HB
8/10/2018 21:17,527354,PR10425,WMF1,28,0,12/30/2020,8901399010019,2,,0,,,,,,Santoor Soap - White (100g)
8/10/2018 21:17,528677,PR15644,WMF1,40,0,5/30/2021,8906010083144,223,,0,,,,,,VI-John Women Fairness Cream - Saffron (50g)
8/10/2018 21:17,529488,PR11049,WMF1,30,0,4/30/2020,8906057530977,22,,0,,,,,,Medimix Soap - Sandal (75g)
8/10/2018 21:17,528853,PR10103,WMF1,32,0,6/30/2020,8901030693168,425,,0,,,,,,Dove (Rs. 2) Shampoo - Intense Repair (5ml) (1 SHEET x 16 Sachets)
8/10/2018 21:17,528671,PR10968,WMF1,28,0,5/30/2020,8901396394518,409,,0,,,,,,Dettol Soap - Skincare (75g)
8/10/2018 21:17,525647,PR10968,WMF1,32,0,1/30/2020,8901396394303,36,,0,,,,,,Dettol Soap - Skincare (75g)
8/10/2018 21:17,529454,PR10126,WMF1,30,0,6/30/2020,4902430769648,372,,0,,,,,,Whisper Choice Wings Sanitary Pads - Regular (7pcs)
8/10/2018 21:17,527016,PR11819,WMF1,50,0,12/30/2020,8901238310041,26,,0,,,,,,Kangaro Stapler No.10 (HD-10)
8/10/2018 21:17,529604,PR11819,WMF1,50,0,12/30/2020,8901057310062,20,,0,,,,,,Kangaro Stapler No.10 (HD-10)
8/10/2018 21:17,521243,PR10179,WMF1,28,0,8/30/2018,8901023010316,1006,,0,,,,,,Godrej Rich Creme Hair Colour - Black Brown 3.00
8/10/2018 21:17,527296,PR10181,WMF1,28,0,8/30/2019,8901023010330,146,,0,,,,,,Godrej Rich Creme Hair Colour - Natural Brown 4.00
8/10/2018 21:17,528398,PR15579,WMF1,48,0,5/30/2020,452297,35,,0,,,,,,Dove (Rs. 3) Shampoo - Daily Shine (5ml) (1 SHEET x 16 Sachets)
8/10/2018 21:17,529074,PR15579,WMF1,48,0,6/30/2020,8901030693199,1,,0,,,,,,Dove (Rs. 3) Shampoo - Daily Shine (5ml) (1 SHEET x 16 Sachets)
8/10/2018 21:17,529534,PR10413,WMF1,29,0,10/30/2020,8901030555480,20,,0,,,,,,Lux Soap - Soft Touch (100g)
8/10/2018 21:17,523096,PR11689,WMF1,40,0,12/30/2020,8901324023138,29,,0,,,,,,Nataraj (Rs. 4) 621 Pencil - HB (1 BOX x 10pcs)
8/10/2018 21:17,522882,PR15620,WMF1,35,0,12/30/2020,8901277012456,2302,,0,,,,,,Park Avenue Lather Shaving Cream - Good Morning (30g) - HB
8/10/2018 21:17,513891,PR15100,WMF1,37,0,12/30/2018,8901542015052,2,,0,,,,,,Nycil Talcum Powder - Cool Classic (50g)
8/10/2018 21:17,527236,PR10369,WMF1,37,0,6/30/2019,8901207001123,5,,0,,,,,,Dabur Anmol Pure Coconut Oil - Gold (100ml)
8/10/2018 21:17,529805,PR10369,WMF1,37,0,10/30/2019,8901207001123,2880,,0,,,,,,Dabur Anmol Pure Coconut Oil - Gold (100ml)
8/10/2018 21:17,529100,PR10239,WMF1,30,0,5/30/2020,8901248253161,2,,0,,,,,,Emami Fair & Handsome Men Fairness Cream (15g)
