created_on,stock_id,productId,WMF1,mrp,cost,shelfLife,barcode,quantity,offer,purchasePrice,serialNo,location,area,rackId,binId,product_name
8/10/2018 21:17,526930,PR12012,WMF1,100,0,12/30/2020,470371,7,,0,,,,,,Montex (Rs. 10) Mega Top Ball Pen - Black (1 PACKET X 10pcs)
8/10/2018 21:17,523333,PR11991,WMF1,100,0,12/30/2020,8901015129019,10,,0,,,,,,Montex (Rs. 10) Mega Top Ball Pen - Blue (1 PACKET X 10pcs)
8/10/2018 21:17,528818,PR11991,WMF1,100,0,6/30/2021,8901015129019,4,,0,,,,,,Montex (Rs. 10) Mega Top Ball Pen - Blue (1 PACKET X 10pcs)
8/10/2018 21:17,525693,PR14913,WMF1,90,0,12/30/2020,8901180144015,3,,0,,,,,,"Faber-Castell Paint Brush - Synthetic Hair (Flat No. 1,2,4, 6) "
8/10/2018 21:17,529546,PR10790,WMF1,100,0,5/30/2019,8901030622915,57,,0,,,,,,3 Roses (Rs. 2) Dust Tea (4g) (1 BUNDLE X 50pcs)
8/10/2018 21:17,528637,PR15499,WMF1,100,0,0000-00-00,474488,2,,0,,,,,,Montex (Rs. 10) Smooth Flow Ball Pen - Black (1 PACKET x 10pcs)
8/10/2018 21:17,528638,PR15500,WMF1,100,0,0000-00-00,474489,2,,0,,,,,,Montex (Rs. 10) Smooth Flow Ball Pen - Blue (1 PACKET x 10pcs)
8/10/2018 21:17,518627,PR11791,WMF1,100,0,0000-00-00,8901372912996BLCK,2,,0,,,,,,Cello (Rs. 10) Maxriter Ball Point Pen - Black (1 PACKET x 10pcs)
8/10/2018 21:17,528635,PR15497,WMF1,100,0,0000-00-00,474486,2,,0,,,,,,Montex (Rs. 10) Mint Ball Pen - Blue (1 PACKET x 10pcs)
8/10/2018 21:17,528636,PR15498,WMF1,100,0,0000-00-00,474487,2,,0,,,,,,Montex (Rs. 10) Regal Ball Pen - Blue (1 PACKET x 10pcs)
8/10/2018 21:17,528640,PR15502,WMF1,100,0,0000-00-00,474491,2,,0,,,,,,Montex (Rs. 10) Winner Gel Pen - Blue (1 PACKET x 10pcs)
8/10/2018 21:17,528576,PR11801,WMF1,100,0,6/30/2021,8901372912996,10,,0,,,,,,Cello (Rs. 10) Maxriter Ball Point Pen - Blue (1 PACKET x 10pcs)
8/10/2018 21:17,511886,PR10457,WMF1,75,0,12/30/2020,8901097416403,1,,0,,,,,,Morisons Baby Dreams Baby Feeding Bottle - Regular (125ml)
8/10/2018 21:17,527426,PR12724,WMF1,120,0,12/30/2020,470422,4,,0,,,,,,SRS Business Card Holder - Blue (1 BOX x 480 Cards)
8/10/2018 21:17,513890,PR10300,WMF1,90,0,12/30/2018,8901542017544,27,,0,,,,,,Nycil Talcum Powder - Classic Excel (150g)
