created_on,stock_id,productId,WMF1,mrp,cost,shelfLife,barcode,quantity,offer,purchasePrice,serialNo,location,area,rackId,binId,product_name
8/10/2018 21:17,529303,PR11635,WMF1,20,0,12/30/2020,469697,5,,0,,,,,,Supreme Stamp Pad Ink - Blue (30ml)
8/10/2018 21:17,519081,PR11963,WMF1,18,0,0000-00-00,470298,6,,0,,,,,,Generic 1 Double Sided Foam Tape
8/10/2018 21:17,522518,PR10400,WMF1,18,0,12/30/2020,8901030640100,42,,0,,,,,,Pepsodent Germicheck Plus Fighter Toothbrush - Medium
8/10/2018 21:17,528959,PR10284,WMF1,25,0,6/30/2020,8902979027137,433,,0,,,,,,Indica Easy Hair Colour - Natural Black (12ml)
8/10/2018 21:17,520521,PR13750,WMF1,100,0,0000-00-00,471440,146,,0,,,,,,Generic USB Data Cable
8/10/2018 21:17,525978,PR14937,WMF1,20,0,12/30/2020,6934153027772,8,,0,,,,,,Generic Minions Spring Gel Pen
8/10/2018 21:17,521803,PR15537,WMF1,20,0,0000-00-00,472380,2103,,0,,,,,,Super-Max Disposable Razor - 3 Hattrick Triple Blade - HB
8/10/2018 21:17,521767,PR15537,WMF1,19,0,0000-00-00,472380,83,,0,,,,,,Super-Max Disposable Razor - 3 Hattrick Triple Blade - HB
8/10/2018 21:17,519255,PR12675,WMF1,22,0,0000-00-00,6956244877530,16,,0,,,,,,Free Zipper Pouch - PP CHQ - HB
8/10/2018 21:17,517017,PR10096,WMF1,16,0,1/30/2019,8901030647147,36,,0,,,,,,Sunsilk (Re. 1) Shampoo - Lusciously Thick & Long (5ml) (1 SHEET x 16 Sachets)
8/10/2018 21:17,529198,PR15623,WMF1,15,0,3/30/2020,8904109450136,170,,0,,,,,,Patanjali Body Cleanser - Aloevera Kanti (75g)
8/10/2018 21:17,527820,PR15624,WMF1,15,0,1/30/2021,8904109460005,2,,0,,,,,,Patanjali Super Dishwash Bar (280g)
8/10/2018 21:17,529388,PR14365,WMF1,15,0,4/30/2021,8901023008566,194,,0,,,,,,Godrej Nupur Mehendi (25g)
8/10/2018 21:17,529682,PR10213,WMF1,10,0,0000-00-00,8904109450075,129,,0,,,,,,Patanjali Body Cleanser - Haldi Chandan Kanti (56g)
8/10/2018 21:17,528329,PR11421,WMF1,15,0,6/30/2021,8901030420719,56,,0,,,,,,Surf Excel Detergent Bar (150g)
8/10/2018 21:17,525466,PR14905,WMF1,28,0,12/30/2020,6930557916889,6,,0,,,,,,Generic Puzzle Scale (20cm)
8/10/2018 21:17,529306,PR15532,WMF1,25,0,0000-00-00,474727,16,,0,,,,,,Pentek (Rs. 5) Joystick Ballpoint Pen - Blue (1 PACKET x 5pcs)
8/10/2018 21:17,529316,PR10365,WMF1,16,0,5/30/2020,8901030693106,105,,0,,,,,,Sunsilk (Re. 1) Shampoo - Black (5.5ml) (1 SHEET x 16 Sachets)
8/10/2018 21:17,528352,PR10292,WMF1,20,0,5/30/2020,8902979002035,1564,,0,,,,,,Chik (Re. 1) Shampoo - Thick & Glossy (5.5ml) (1 SHEET x 20 Sachets)
8/10/2018 21:17,528351,PR10488,WMF1,20,0,0000-00-00,8902979025836,295,,0,,,,,,Chik (Re. 1) Shampoo - Egg White (5.5ml) (1 SHEET x 20 Sachets)
