created_on,stock_id,productId,WMF1,mrp,cost,shelfLife,barcode,quantity,offer,purchasePrice,serialNo,location,area,rackId,binId,product_name
8/10/2018 21:17,519970,PR12976,WMF1,236,0,12/30/2020,470649,2,,0,,,,,,Generic Gift Wrapping Film (50 Sheets)
8/10/2018 21:17,528943,PR15079,WMF1,156,0,6/30/2021,8901314309426,17,,0,,,,,,Colgate Cibaca 1-2-3 Toothbrush (1 SHEET x 12pcs)
8/10/2018 21:17,529500,PR13119,WMF1,120,0,12/30/2018,8901719703034,24,,0,,,,,,Parle (Rs. 5) Krack Jack Biscuit (37.8g) (1 BUNDLE x 24pcs)
8/10/2018 21:17,527859,PR10893,WMF1,125,0,5/30/2019,8901052031269,21,,0,,,,,,Tata Kannan Devan Dust Poly Pack (100g) (1 SHEET x 5pcs)
8/10/2018 21:17,528909,PR11031,WMF1,120,0,6/30/2020,4902430796880,144,,0,,,,,,Tide (Rs. 10) Plus Detergent Powder (110g) (1 SHEET X 12 Sachets)
8/10/2018 21:17,521858,PR14448,WMF1,150,0,12/30/2020,8901765131034,2,,0,,,,,,Flair Velocity Retractable Ball Pen - Blue (1 PACKET x 10pcs)
8/10/2018 21:17,521828,PR14318,WMF1,399,0,0000-00-00,8276142930495,41,,0,,,,,,Generic Triangle Shelves For Bathroom (Assorted Colors)
8/10/2018 21:17,529337,PR15602,WMF1,135,0,4/30/2020,8901030677106,7,,0,,,,,,Indulekha Bringha Hair Cleanser (100ml)
8/10/2018 21:17,528079,PR15637,WMF1,110,0,0000-00-00,8901052034468,19,,0,,,,,,Tata Agni Dust Tea Poly Pack (100g) (1 BUNDLE x 5pcs)
8/10/2018 21:17,523907,PR15113,WMF1,130,0,8/30/2019,469150,1,,0,,,,,,Eva Deodorant Spray - Fresh (125ml)
8/10/2018 21:17,529627,PR15677,WMF1,120,0,12/30/2018,474785,24,,0,,,,,,Tide (Rs. 10) Plus Detergent Powder (110g) - Lemon & Mint (1 SHEET X 12 Sachets)
8/10/2018 21:17,526025,PR14876,WMF1,150,0,12/30/2020,8902251596054,2,,0,,,,,,Add Gel Sketch Pen (12 Shades) (1 PACKET x 5pcs)
8/10/2018 21:17,519434,PR12938,WMF1,150,0,0000-00-00,8906015531510,5,,0,,,,,,Polo Poster Colour (12 Shades)
8/10/2018 21:17,528482,PR15593,WMF1,150,0,12/30/2020,8901138815431,48,,0,,,,,,Himalaya Herbals Purifying Face Wash - Neem (150ml)
8/10/2018 21:17,527546,PR15601,WMF1,130,0,4/30/2019,8901571002443,1,,0,,,,,,Horlicks Junior Health Drink Refill Pack - Stage 1 (200g)
8/10/2018 21:17,523800,PR10331,WMF1,130,0,0000-00-00,8901207019012,5,,0,,,,,,Dabur Hair Oil - Amla (275ml)
8/10/2018 21:17,528567,PR12929,WMF1,200,0,6/30/2021,8901324005844,2,,0,,,,,,Apsara Non Dust Chalk (1 BOX x 10pcs)
8/10/2018 21:17,529118,PR14724,WMF1,150,0,6/30/2021,8901324014624,2,,0,,,,,,Apsara Art Kit
8/10/2018 21:17,521835,PR14330,WMF1,499,0,0000-00-00,9235501518643,19,,0,,,,,,"Generic Multi Purpose 28 Rings Foldable Hanger For Ties, Scarfs, Belts, Bags Etc (Multi Coloured)"
8/10/2018 21:17,526142,PR15043,WMF1,180,0,0000-00-00,473601,21,,0,,,,,,Colgate Super Flexi Toothbrush - Medium (Buy 10 Get 2 FREE)
8/10/2018 21:17,529603,PR11817,WMF1,185,0,12/30/2020,8901057310420,2,,0,,,,,,Kangaro Stapler (HP-10) 
8/10/2018 21:17,523326,PR11964,WMF1,150,0,12/30/2020,470294,2,,0,,,,,,Generic Colored Coated Paper Clip (28mm) (10 Packets)
8/10/2018 21:17,529086,PR10492,WMF1,142,0,6/30/2020,8908000498969,40,,0,,,,,,Aswini Hair Oil (180ml)
8/10/2018 21:17,520559,PR15164,WMF1,149,0,3/30/2019,4902430761475,5,,0,,,,,,Vicks Baby Rub (50ml)
8/10/2018 21:17,526474,PR15164,WMF1,149,0,6/30/2019,4902430761475,1,,0,,,,,,Vicks Baby Rub (50ml)
8/10/2018 21:17,492300,PR10990,WMF1,135,0,9/30/2018,8901012114032,6,,0,,,,,,Johnsons Baby Cream (100g)
8/10/2018 21:17,529330,PR10485,WMF1,140,0,11/30/2020,8901030175688,58,,0,,,,,,Lakme Perfecting Liquid Foundation - Shell (27ml)
8/10/2018 21:17,529333,PR11002,WMF1,140,0,4/30/2021,8901030175077,91,,0,,,,,,Lakme Radiance Compact Powder - Natural Shell (9g)
8/10/2018 21:17,529328,PR11441,WMF1,140,0,11/30/2020,8901030175671,132,,0,,,,,,Lakme Perfecting Liquid Foundation - Marble (27ml)
8/10/2018 21:17,529329,PR10474,WMF1,140,0,11/30/2020,8901030175664,140,,0,,,,,,Lakme Perfecting Liquid Foundation - Pearl (27ml)
8/10/2018 21:17,529331,PR10466,WMF1,140,0,5/30/2021,8901030175053,188,,0,,,,,,Lakme Radiance Compact Powder - Natural Pearl (9g)
8/10/2018 21:17,529332,PR11440,WMF1,140,0,4/30/2021,8901030175060,294,,0,,,,,,Lakme Radiance Compact Powder - Natural Marble (9g)
8/10/2018 21:17,522686,PR11656,WMF1,200,0,0000-00-00,8901198112778BLUE,1,,0,,,,,,Luxor 887 Single Color Gloliter Pen - Blue  (1 PACKET x 10pcs)
8/10/2018 21:17,529295,PR11782,WMF1,200,0,6/30/2021,8901425057179,2,,0,,,,,,Camlin Permanent Marker - Black (1 PACKET x 10pcs)
